val_macro_f1,val_accuracy,test_macro_f1,test_accuracy,test_f1_ham,test_f1_spam,test_f1_smishing,fit_time_s,predict_time_s,dataset,model_key,n_train,n_val,n_test
0.0,0.0,0.289230693621088,0.3502,0.45214490873714447,0.17803030303030304,0.23751686909581646,0.0,191.58813548414037,MetaSMS,moonlight_16b_few-shot_expert_cot,0,0,10000
0.0,0.0,0.6588954200790996,0.923,0.9836634552091437,0.25355450236966826,0.7394683026584867,0.0,72.81402217177674,MetaSMS,gemma4_12b_zero-shot_basic_direct,0,0,10000
0.0,0.0,0.6848805431502929,0.9103,0.982030111704711,0.38769230769230767,0.6849192100538599,0.0,79.91379976691678,MetaSMS,gemma4_12b_zero-shot_expert_direct,0,0,10000
0.0,0.0,0.6881800347282025,0.9162,0.9845801710637273,0.39567747298420614,0.6842824601366743,0.0,175.14339787885547,MetaSMS,gemma4_12b_zero-shot_expert_cot,0,0,10000
0.0,0.0,0.6826844725362302,0.9156,0.9851610568222946,0.3777403035413153,0.6851520572450805,0.0,195.52289377432317,MetaSMS,gemma4_12b_few-shot_expert_cot,0,0,10000
0.0,0.0,0.6667879938069161,0.8959,0.9750566893424036,0.3795830337886413,0.6457242582897034,0.0,57.67167307808995,MetaSMS,qwen25_14b_zero-shot_basic_direct,0,0,10000
0.0,0.0,0.6656186728014476,0.8961,0.9750122488975992,0.3697841726618705,0.6520595968448729,0.0,64.81202445086092,MetaSMS,qwen25_14b_zero-shot_expert_direct,0,0,10000
0.0,0.0,0.6675027828786563,0.8972,0.9774582673327648,0.4069379586390927,0.6181121226641112,0.0,198.33614667737857,MetaSMS,qwen25_14b_zero-shot_expert_cot,0,0,10000
0.0,0.0,0.672985301559066,0.9028,0.9800109362658728,0.4069264069264069,0.6320185614849188,0.0,194.23391579976305,MetaSMS,qwen25_14b_few-shot_expert_cot,0,0,10000
0.0,0.0,0.686434153854071,0.9116,0.9827804966467283,0.4054878048780488,0.6710341600374357,0.0,442.6634294181131,MetaSMS,qwen35_35b_moe_zero-shot_basic_direct,0,0,10000
